"folio","edad","sexo","educacion","cse","n_personas","macrozona","prob_gastar_comida_fuera","gasto_cond_comida_fuera","gasto_esp_comida_fuera"
109990801,42,"1","10","3",3,NA,NA,89725.4335691707,NA
110080101,29,"1","8","3",5,NA,NA,89725.4335691707,NA
110080201,42,"2","12","3",1,NA,NA,89725.4335691707,NA
110080401,45,"2","11","3",5,NA,NA,89725.4335691707,NA
110270101,52,"1","4",NA,5,NA,NA,89725.4335691707,NA
110270201,47,"1",NA,NA,1,NA,NA,89725.4335691707,NA
110270301,36,"1","1",NA,1,NA,NA,89725.4335691707,NA
110270302,28,"1","9",NA,1,NA,NA,89725.4335691707,NA
110270401,63,"2",NA,NA,2,NA,NA,89725.4335691707,NA
110270601,28,"2","1",NA,3,NA,NA,89725.4335691707,NA
110270701,38,"1","5",NA,4,NA,NA,89725.4335691707,NA
110270801,28,"2","6",NA,4,NA,NA,89725.4335691707,NA
110470101,29,"2","11","3",6,NA,NA,89725.4335691707,NA
110470201,45,"2","9","3",4,NA,NA,89725.4335691707,NA
110470601,56,"1","11","3",3,NA,NA,89725.4335691707,NA
110470701,58,"2","5","3",5,NA,NA,89725.4335691707,NA
110470801,60,"1","12","3",1,NA,NA,89725.4335691707,NA
110640101,76,"2","1",NA,1,NA,NA,89725.4335691707,NA
110640201,48,"2","5",NA,2,NA,NA,89725.4335691707,NA
110640301,52,"2","3",NA,3,NA,NA,89725.4335691707,NA
110640401,57,"2",NA,NA,2,NA,NA,89725.4335691707,NA
110640501,52,"2","8",NA,1,NA,NA,89725.4335691707,NA
110870101,22,"2","5",NA,2,NA,NA,89725.4335691707,NA
110870201,72,"2",NA,NA,1,NA,NA,89725.4335691707,NA
110870301,40,"2","3",NA,4,NA,NA,89725.4335691707,NA
110870401,54,"2","6",NA,1,NA,NA,89725.4335691707,NA
110870501,37,"2","7",NA,6,NA,NA,89725.4335691707,NA
110870601,40,"2","5",NA,5,NA,NA,89725.4335691707,NA
110870701,30,"1","7",NA,2,NA,NA,89725.4335691707,NA
110870801,59,"2",NA,NA,2,NA,NA,89725.4335691707,NA
110960201,51,"1",NA,NA,5,NA,NA,89725.4335691707,NA
110960301,56,"1","5",NA,2,NA,NA,89725.4335691707,NA
